Year,Open,High,Low,Close,Adj_Close,Volume
2007,154,207,154,191.800003,177.67514,27262365
2008,255.800003,263.799988,252.740005,259.369995,240.269028,2456740
2009,67.300003,68.940002,65.800003,66.25,61.530327,845745
2010,111,112.559998,110.699997,111.349998,104.207405,1079040
2011,145.550003,146.399994,143.050003,145.050003,136.551651,487210
2012,122.800003,123.75,111,114.699997,108.697319,1572363
2013,136.25,138.149994,135.300003,137.800003,131.670944,353823
2014,154.550003,157.75,154.550003,156.300003,150.426834,851727
2015,319,322.5,316.25,319.549988,308.713379,1456204
2016,261,268.299988,260.100006,267.549988,259.295471,1347893
2017,269.799988,276.899994,267,273.799988,266.555084,2622173
2018,406.700012,407.700012,398.049988,399.649994,390.35733,2701537
2019,386.299988,390.899994,384.049988,389,381.8703,1233249
2020,368,379.25,366,377.649994,370.92337,11377167
2021,485,508,482.549988,503.850006,500.344727,7815730
