Year,Open,High,Low,Close,Adj_Close,Volume
2000,1465.199951,1553.359985,1460.930054,1539.130005,1539.130005,7983100
2001,1520.01001,1538,1497.109985,1500.280029,1500.280029,6975600
2002,1530,1594,1518.310059,1575.390015,1575.390015,9182600
2003,1602.310059,1634.560059,1589.189941,1629.51001,1629.51001,7993200
2004,1664.689941,1676.609985,1616.609985,1656.579956,1656.579956,8881400
2005,1652.97998,1667.800049,1641.400024,1659.420044,1659.420044,6348800
2006,1641.01001,1663.25,1621.619995,1656.219971,1656.219971,6507700
2007,1640.550049,1660.290039,1636.219971,1640.560059,1640.560059,4686200
2008,1615,1648.199951,1595.150024,1617.209961,1617.209961,6005900
2009,1632,1675.160034,1626.01001,1674.560059,1674.560059,5998500
2010,1684.219971,1705,1675.880005,1683.780029,1683.780029,6366900
2011,1680,1700.170044,1677.5,1693.219971,1693.219971,4208900
2012,1712,1716.199951,1691.540039,1696.199951,1696.199951,6020500
2013,1681,1681.869995,1610.199951,1632.170044,1632.170044,6416800
2014,1656,1657.430054,1612,1640.02002,1640.02002,5225200
2015,1641.069946,1657.26001,1631.780029,1654.930054,1654.930054,4089900
2016,1670.5,1683.47998,1661.609985,1670.569946,1670.569946,4945900
2017,1643.589966,1645,1614.089966,1637.890015,1637.890015,4837700
2018,1631.27002,1632.380005,1590.719971,1593.880005,1593.880005,4632800
2019,1623,1676.949951,1619.680054,1670.430054,1670.430054,5783800
2020,1692.849976,1736.410034,1679.079956,1718.72998,1718.72998,10910300
