Year,Open,High,Low,Close,Adj_Close,Volume
1984,244.199997,244.699997,244.199997,244.699997,244.699997,62860000
1985,279.899994,281.799988,279.399994,281.799988,281.799988,79110000
1986,353.100006,353.700012,352.600006,353.5,353.5,83590000
1987,440.700012,441,438.200012,438.399994,438.399994,145300000
1988,355.100006,356.200012,351.200012,351.5,351.5,106030000
1989,524.530029,525.75,519.809998,520.51001,520.51001,179370000
1990,581.080017,582.47998,577.830017,578.330017,578.330017,185130000
1991,760.27002,763.02002,759.900024,762.780029,762.780029,306210000
1992,1048.040039,1052.880005,1038.040039,1038.050049,1038.050049,426670000
1993,1210.959961,1220.51001,1210.76001,1215.27002,1215.27002,583420000
1994,1691.97998,1697.359985,1686.380005,1697.359985,1697.359985,755210000
1995,1711.670044,1760.349976,1697.810059,1760.27002,1760.27002,932780000
1996,3863.080078,3913.870117,3795.080078,3897.439941,3897.439941,1802040000
1997,1505.52002,1528.329956,1480.689941,1501.640015,1501.640015,2181960000
1998,1816.75,1821.569946,1792.060059,1792.069946,1792.069946,1841530000
1999,6733.870117,6743.629883,6709.27002,6737.870117,6737.870117,1983830000
2000,6837.560059,7126.549805,6824.819824,7115.879883,7115.879883,3131030000
2001,7316.5,7336.740234,7235.049805,7288.350098,7288.350098,2295080000
2002,9493.629883,9628.660156,9493.629883,9628.389648,9628.389648,2179310000
2003,14093.34961,14109.12012,13845.46973,13972.53027,13972.53027,10165550000
