 Price ,Area,Location,Bedrooms,Resale,Gymnasium,Lift Available,Car Parking,Maintenance Staff,Security 24x7,Children's Play Area,Clubhouse,Intercom,Landscaped Gardens,Indoor Games,Gas Connection,Jogging Track,Swimming Pool
4850000,720,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4500000,600,Kharghar,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1
6700000,650,Kharghar,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1
4500000,650,Kharghar,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0
5000000,665,Kharghar,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0
17000000,2000,Kharghar,4,0,1,1,1,1,1,1,1,1,1,0,0,1,1
12500000,1550,Kharghar,3,0,0,1,1,1,1,0,0,1,1,0,1,0,0
10500000,1370,Sector-13 Kharghar,3,0,0,1,1,1,1,0,0,1,0,0,0,0,0
10500000,1356,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1
15000000,1680,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1
8700000,980,Kharghar,2,0,1,1,1,1,1,0,1,1,0,1,0,1,1
9000000,1000,Kharghar,2,0,1,1,1,1,1,1,0,1,1,0,0,0,0
11000000,1060,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,0,1
10500000,1095,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,0,1
9700000,1155,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1
10500000,1150,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1
8000000,1250,Sector 18 Kharghar,2,0,1,1,1,1,1,1,0,1,1,0,1,0,0
8500000,990,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1
9300000,1078,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
9900000,1150,Kharghar,2,0,1,1,1,1,1,1,1,1,0,0,0,1,1
8000000,1150,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1
9000000,1060,Kharghar,2,0,1,1,1,1,1,0,1,1,1,0,0,1,1
4200000,680,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
28000000,2470,Kharghar,4,0,1,1,1,1,1,1,1,1,1,1,1,1,1
40000000,2100,Kharghar,4,0,0,1,1,1,1,0,0,1,0,0,0,0,0
16000000,2200,Kharghar,4,0,1,1,1,1,1,1,1,1,1,0,0,1,1
17000000,2235,Kharghar,4,0,1,1,1,1,1,1,1,1,0,1,0,1,1
9500000,1025,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
9500000,950,Kharghar,2,0,1,1,1,1,1,0,1,1,0,0,0,1,1
7500000,895,Kharghar,2,0,0,1,1,1,1,0,0,1,0,0,0,1,0
8500000,1114,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,1,1,1
13000000,1197,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,0,1
13700000,1380,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1
8000000,1050,Kharghar,2,0,0,1,1,1,1,0,0,0,0,0,0,0,0
10500000,1240,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
7700000,1110,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1
7500000,1050,Kharghar,2,0,0,1,1,1,1,0,0,1,0,0,0,1,0
9000000,1160,Kharghar,2,0,1,1,1,1,1,0,1,1,1,0,1,1,1
6000000,555,Kharghar,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0
6200000,650,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
5000000,600,Kharghar,1,0,0,1,1,1,1,1,0,1,1,0,0,0,0
6500000,650,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
5200000,700,Kharghar,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
4200000,646,Kharghar,1,0,0,1,1,1,1,0,0,1,0,0,0,0,0
5500000,560,Kharghar,1,0,0,1,1,1,1,0,0,1,1,0,0,0,0
5500000,670,Kharghar,1,0,1,1,1,1,1,0,1,1,0,0,0,1,1
6000000,740,Kharghar,1,0,1,1,1,1,1,1,1,1,0,1,0,1,1
5500000,636,Kharghar,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
4200000,680,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
16500000,1635,Kharghar,3,0,1,1,1,1,1,1,0,1,1,0,0,0,1
11399999,1550,Kharghar,3,0,1,1,1,1,1,1,0,1,1,0,0,1,0
13500000,1500,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1
22500000,1850,Kharghar,3,0,1,1,1,1,1,1,1,1,1,0,0,1,1
40000000,2100,Kharghar,4,0,1,1,1,1,1,1,1,1,0,0,0,0,1
5700000,610,Kharghar,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
4800000,655,Kharghar,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0
4500000,660,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4300000,650,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
4500000,680,Kharghar,1,0,1,1,1,1,1,0,1,0,0,0,0,1,1
5300000,670,Kharghar,1,0,1,1,1,1,1,1,1,0,0,0,0,1,1
4803000,655,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
13000000,1800,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1
15500000,1645,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1
13000000,1395,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1
8500000,1150,Kharghar,2,0,1,1,1,1,1,0,1,1,1,0,0,1,1
9400000,1200,Kharghar,2,0,1,1,1,1,1,1,1,0,1,0,0,1,1
4500000,615,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
5300000,670,Kharghar,1,0,1,1,1,1,1,1,1,0,1,0,1,1,1
6000000,765,Kharghar,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
5600000,650,Kharghar,1,0,1,1,1,1,1,1,1,1,0,0,0,1,1
17500000,1760,Kharghar,3,0,1,1,1,1,1,1,1,0,0,0,0,1,1
12000000,1415,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
15000000,1685,Kharghar,3,0,1,1,1,1,1,1,1,0,1,1,1,1,1
13000000,1800,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1
16600000,1650,Kharghar,3,0,1,1,1,1,1,0,1,1,0,0,0,1,1
13000000,1395,Kharghar,3,0,1,1,1,1,1,1,1,0,0,0,0,1,1
9400000,1200,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1
5700000,650,Kharghar,1,0,0,1,1,1,1,1,1,0,1,0,0,0,0
5500000,560,Kharghar,1,0,0,1,1,1,1,1,0,0,1,0,1,0,0
6000000,765,Kharghar,1,0,1,1,1,1,1,1,1,1,1,0,1,1,1
5600000,650,Kharghar,1,0,1,1,1,1,1,1,1,1,1,0,0,1,1
4900000,655,Kharghar,1,0,0,1,1,1,1,0,0,0,0,0,0,0,0
13500000,1390,Kharghar,3,0,1,1,1,1,1,1,1,1,0,0,0,1,1
22000000,1590,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,1,1,1
17500000,1760,Kharghar,3,0,1,1,1,1,1,1,1,0,0,0,1,1,1
17800000,1716,Kharghar,3,0,1,1,1,1,1,0,1,1,1,1,0,1,1
14000000,1680,Kharghar,3,0,1,1,1,1,1,1,1,1,1,1,0,1,1
7200000,1050,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,1,1,1
7000000,1100,Kharghar,2,0,0,1,1,1,1,0,0,1,1,0,0,1,0
15000000,1635,Kharghar,3,0,1,1,1,1,1,1,0,1,1,0,1,0,1
10000000,1078,Kharghar,2,0,1,1,1,1,1,1,1,1,1,1,0,1,1
17500000,1760,Kharghar,3,0,1,1,1,1,1,1,1,0,1,0,0,1,1
11000000,1415,Kharghar,3,0,1,1,1,1,1,0,1,1,1,1,0,1,1
13000000,1800,Kharghar,3,0,1,1,1,1,1,1,1,1,1,0,0,1,1
12500000,1147,Kharghar,2,0,1,1,1,1,1,1,1,1,1,0,0,1,1
