Year,Open,High,Low,Close,Adj_Close,Volume
2000,10868.84961,10895.34961,10735.04981,10792.5,10792.5,309700
2001,10796.79981,10814.04981,10661.25,10672.25,10672.25,286200
2002,10699.7002,10741.04981,10628.65039,10727.34961,10727.34961,296600
2003,10804.84961,10835.9502,10750.15039,10771.79981,10771.79981,269400
2004,10786.25,10818.4502,10733.25,10802.15039,10802.15039,277700
2005,10862.40039,10870.40039,10749.40039,10855.15039,10855.15039,333000
2006,10859.34961,10859.34961,10801.79981,10821.59961,10821.59961,254400
2007,10834.75,10850.15039,10739.40039,10794.9502,10794.9502,260800
2008,10807,10808,10692.34961,10737.59961,10737.59961,298800
2009,10777.54981,10896.9502,10777.54981,10886.79981,10886.79981,310700
2010,10899.65039,10928.15039,10876.90039,10890.29981,10890.29981,276500
2011,10920.84961,10930.65039,10844.65039,10905.2002,10905.2002,271700
2012,10914.84961,10928.2002,10852.2002,10906.9502,10906.9502,323800
2013,10919.34961,10987.4502,10885.75,10961.84961,10961.84961,288800
2014,10949.79981,10949.79981,10864.15039,10922.75,10922.75,300800
2015,10931.04981,10944.79981,10811.9502,10831.5,10831.5,298900
2016,10844.04981,10866.59961,10798.65039,10849.79981,10849.79981,361100
2017,10859.75,10931.7002,10756.4502,10780.54981,10780.54981,463400
2018,10792.4502,10804.4502,10630.9502,10661.54981,10661.54981,419700
2019,10653.7002,10690.34961,10583.65039,10652.2002,10652.2002,356900
2020,10702.25,10710.2002,10612.84961,10651.79981,10651.79981,410100
2021,10690.54981,10838.04981,10678.54981,10830.9502,10830.9502,604800
