Date,Symbol,Series,Prev Close,Open,High,Low,Last,Close,VWAP,Volume,Turnover,Trades,Deliverable Volume,%Deliverble
01-01-1996,RELIANCE,EQ,204.65,205,206.1,203.65,,205.75,205.26,3717450,7.63E+13,,,
02-01-1996,RELIANCE,EQ,205.75,205.25,206.25,202.65,,204.15,204.13,6024650,1.23E+14,,,
03-01-1996,RELIANCE,EQ,204.15,207.5,216.95,205.25,,205.7,207.04,7473500,1.55E+14,,,
04-01-1996,RELIANCE,EQ,205.7,203.75,204.4,201.05,,203.8,202.47,7744000,1.57E+14,,,
05-01-1996,RELIANCE,EQ,203.8,203,203,200.65,,202.4,202.05,5952000,1.20E+14,,,
08-01-1996,RELIANCE,EQ,202.4,202,202.15,192.3,,194.3,197.57,6675550,1.32E+14,,,
09-01-1996,RELIANCE,EQ,194.3,188.55,192,182.25,,188.7,186.15,13880150,2.58E+14,,,
10-01-1996,RELIANCE,EQ,188.7,185,189.45,183,,183.85,186.24,9875700,1.84E+14,,,
11-01-1996,RELIANCE,EQ,183.85,182,190.5,181.75,,189.6,185.82,14625600,2.72E+14,,,
12-01-1996,RELIANCE,EQ,189.6,191,192.45,186.35,,187.6,188.95,13377500,2.53E+14,,,
15-01-1996,RELIANCE,EQ,187.6,187.05,188,184.6,,185.65,186.15,7139950,1.33E+14,,,
16-01-1996,RELIANCE,EQ,185.65,185,187,184.4,,186,185.71,7756400,1.44E+14,,,
17-01-1996,RELIANCE,EQ,186,185,185.25,177.05,,178.6,181.66,10697700,1.94E+14,,,
18-01-1996,RELIANCE,EQ,178.6,174.05,176.9,171.8,,173.65,174.42,13478000,2.35E+14,,,
19-01-1996,RELIANCE,EQ,173.65,171.25,173.4,169.45,,170.6,171.23,11586900,1.98E+14,,,
22-01-1996,RELIANCE,EQ,170.6,171.15,175.75,171,,173.5,173.8,12089550,2.10E+14,,,
23-01-1996,RELIANCE,EQ,173.5,174.1,174.85,157,,166.15,170.68,12671700,2.16E+14,,,
24-01-1996,RELIANCE,EQ,166.15,164.7,165.7,158,,160.45,161.39,12538400,2.02E+14,,,
25-01-1996,RELIANCE,EQ,160.45,160.1,160.8,152.75,,153.7,157.11,12883650,2.02E+14,,,
29-01-1996,RELIANCE,EQ,153.7,153,167.25,152.05,,165.8,160.64,23310600,3.74E+14,,,
30-01-1996,RELIANCE,EQ,165.8,171,189,168.5,,180.7,174.76,37914350,6.63E+14,,,
31-01-1996,RELIANCE,EQ,180.7,179,185.75,172.25,,176.75,179.43,26118950,4.69E+14,,,
01-02-1996,RELIANCE,EQ,176.75,175,185,174.5,,183.85,180.21,22865050,4.12E+14,,,
02-02-1996,RELIANCE,EQ,183.85,188.75,206,188.75,,203.8,196.45,29231000,5.74E+14,,,
05-02-1996,RELIANCE,EQ,203.8,215,225.2,208.55,,220.75,216.42,43646350,9.45E+14,,,
06-02-1996,RELIANCE,EQ,220.75,226.05,230,197.6,,202.25,218.04,44354450,9.67E+14,,,
07-02-1996,RELIANCE,EQ,202.25,191.05,208,189.05,,206,201.29,31970000,6.44E+14,,,
08-02-1996,RELIANCE,EQ,206,208.1,227.65,206,,224,214.12,29335550,6.28E+14,,,
09-02-1996,RELIANCE,EQ,224,232,242,224.1,,237,233.49,35504550,8.29E+14,,,
12-02-1996,RELIANCE,EQ,237,231,235,219,,222.15,228.02,34689050,7.91E+14,,,
13-02-1996,RELIANCE,EQ,222.15,220,244.15,218.1,,235.5,225.63,36382650,8.21E+14,,,
14-02-1996,RELIANCE,EQ,235.5,241.5,244.95,233.85,,235.65,238.52,22223700,5.30E+14,,,
15-02-1996,RELIANCE,EQ,235.65,230,237.5,228,,231.9,233.05,24961300,5.82E+14,,,
16-02-1996,RELIANCE,EQ,231.9,228,230.25,226.05,,227.8,228.1,17696100,4.04E+14,,,
19-02-1996,RELIANCE,EQ,227.8,232,235.2,228.75,,230.1,232.19,18502450,4.30E+14,,,
20-02-1996,RELIANCE,EQ,230.1,230,230.95,215,,217.95,223.7,22818950,5.10E+14,,,
22-02-1996,RELIANCE,EQ,217.95,223,231,221.05,,229.45,226.75,21905900,4.97E+14,,,
23-02-1996,RELIANCE,EQ,229.45,229,229.5,223.2,,227,226.29,19497250,4.41E+14,,,
26-02-1996,RELIANCE,EQ,227,229.5,234.25,226.05,,227.5,230.72,19456750,4.49E+14,,,
27-02-1996,RELIANCE,EQ,227.5,228.8,230,221.05,,224.9,225.17,19368600,4.36E+14,,,
28-02-1996,RELIANCE,EQ,224.9,229.25,231.8,225.5,,226,228.67,15274700,3.49E+14,,,
29-02-1996,RELIANCE,EQ,226,224,224.8,210.5,,211.85,217.19,24917100,5.41E+14,,,
01-03-1996,RELIANCE,EQ,211.85,213.5,216.2,208.55,,213.05,212.61,25819450,5.49E+14,,,
04-03-1996,RELIANCE,EQ,213.05,214,215,208.4,,210.85,211.62,24042700,5.09E+14,,,
