Year,Open,High,Low,Close,Adj_Close,Volume
2000,1896,1910,1885,1902.800049,1815.441162,1094883
2001,1905,1934.449951,1900,1923.300049,1835,2100463
2002,1919,1944.949951,1893.099976,1899.949951,1812.721924,2611668
2003,1900,1901.199951,1841,1876.849976,1790.682617,4280862
2004,1891.800049,1908.800049,1881,1897.900024,1810.766113,1856423
2005,1905.400024,1906.400024,1883.300049,1893.550049,1806.615723,1691756
2006,1907.400024,1919,1866.699951,1886.949951,1800.31897,2414376
2007,1890,1905,1872.099976,1888.550049,1801.845703,3053461
2008,1870,1875,1835,1842.550049,1757.957397,9209862
2009,1850,1851,1810,1813.25,1730.002319,3615370
2010,1810,1869.349976,1808,1867.800049,1782.047974,7711653
2011,1870,1875,1847,1870.150024,1784.290039,2359280
2012,1878,1898,1871.300049,1894.300049,1811.205322,2625816
2013,1881,1904.199951,1876,1900.650024,1817.276855,1683728
2014,1902,1932,1895.449951,1908.699951,1824.973389,2409803
2015,1907.099976,1918.25,1890,1901.900024,1818.471802,2457093
2016,1901,1906.099976,1870,1875.599976,1793.325439,2578169
2017,1884.800049,1905.25,1875,1901.550049,1818.137207,1962927
2018,1902,1935,1901,1920.800049,1836.542847,2327080
2019,1933,1962,1925.5,1955,1869.242798,2769033
2020,1962,1989.050049,1936.650024,1982.75,1895.775269,2557626
2021,1979.599976,1989.5,1954.650024,1981.400024,1894.484497,2429575
2022,1987,2019.75,1985,2014.099976,1925.75,4094319
