SrNo,City,,Month,Day,Year,AvgTemperature
1,Bombay (Mumbai),,1,1,1995,71.8
2,Bombay (Mumbai),,2,1,1995,78.9
3,Bombay (Mumbai),,3,1,1995,74.2
4,Bombay (Mumbai),,4,1,1995,77.9
5,Bombay (Mumbai),,5,1,1995,86.2
6,Bombay (Mumbai),,6,1,1995,87.2
7,Bombay (Mumbai),,7,1,1995,87.3
8,Bombay (Mumbai),,8,1,1995,81.3
9,Bombay (Mumbai),,9,1,1995,78.4
10,Bombay (Mumbai),,10,1,1995,81.9
11,Bombay (Mumbai),,11,1,1995,82.5
12,Bombay (Mumbai),,12,1,1995,76.5
13,Bombay (Mumbai),,1,1,1996,75
14,Bombay (Mumbai),,2,1,1996,76.3
15,Bombay (Mumbai),,3,1,1996,80.8
16,Bombay (Mumbai),,4,1,1996,84.7
17,Bombay (Mumbai),,5,1,1996,85.3
18,Bombay (Mumbai),,6,1,1996,86.7
19,Bombay (Mumbai),,7,1,1996,85.1
20,Bombay (Mumbai),,8,1,1996,83.3
21,Bombay (Mumbai),,9,1,1996,84
22,Bombay (Mumbai),,10,1,1996,82
23,Bombay (Mumbai),,11,1,1996,80.7
24,Bombay (Mumbai),,12,1,1996,78.7
25,Bombay (Mumbai),,1,1,1997,77.2
26,Bombay (Mumbai),,2,1,1997,70.7
27,Bombay (Mumbai),,3,1,1997,82.9
28,Bombay (Mumbai),,4,1,1997,79.4
29,Bombay (Mumbai),,5,1,1997,85.6
30,Bombay (Mumbai),,6,1,1997,80.8
31,Bombay (Mumbai),,7,1,1997,83.8
32,Bombay (Mumbai),,8,1,1997,81.2
33,Bombay (Mumbai),,9,1,1997,80.7
34,Bombay (Mumbai),,10,1,1997,83.9
35,Bombay (Mumbai),,11,1,1997,86.1
36,Bombay (Mumbai),,12,1,1997,83.2
37,Bombay (Mumbai),,1,1,1998,81.6
38,Bombay (Mumbai),,2,1,1998,82.1
39,Bombay (Mumbai),,3,1,1998,80.4
40,Bombay (Mumbai),,4,1,1998,87.7
41,Bombay (Mumbai),,5,1,1998,84.2
42,Bombay (Mumbai),,6,1,1998,89.5
43,Bombay (Mumbai),,7,1,1998,79
44,Bombay (Mumbai),,8,1,1998,83.5
45,Bombay (Mumbai),,9,1,1998,85
46,Bombay (Mumbai),,10,1,1998,85.1
47,Bombay (Mumbai),,11,1,1998,84.5
48,Bombay (Mumbai),,12,1,1998,81.1
49,Bombay (Mumbai),,1,1,1999,78
50,Bombay (Mumbai),,2,1,1999,71.8
51,Bombay (Mumbai),,3,1,1999,88.1
52,Bombay (Mumbai),,4,1,1999,82.2
53,Bombay (Mumbai),,5,1,1999,84.4
54,Bombay (Mumbai),,6,1,1999,84.1
55,Bombay (Mumbai),,7,1,1999,83.7
56,Bombay (Mumbai),,8,1,1999,82.9
57,Bombay (Mumbai),,9,1,1999,82.6
