Year,Open,High,Low,Close,Adj_Close,Volume
1985,0.130022,0.138951,0.124442,0.129464,0.101475,6366416000
1986,0.098214,0.110491,0.097098,0.103237,0.080918,6291801600
1987,0.180246,0.25558,0.179129,0.247768,0.194202,8268915200
1988,0.381696,0.412946,0.341518,0.370536,0.291882,6221600000
1989,0.359375,0.392857,0.323661,0.337054,0.267764,7345833600
1990,0.314732,0.345982,0.28683,0.303571,0.243533,3747497600
1991,0.381696,0.5,0.375,0.495536,0.40247,7037307200
1992,0.497768,0.616071,0.495536,0.578125,0.473942,4703160000
1993,0.53125,0.582589,0.511161,0.53125,0.439314,5542264000
1994,0.263393,0.314732,0.256696,0.292411,0.244787,7332035200
1995,0.347098,0.429129,0.33817,0.360491,0.30603,8162100800
1996,0.287946,0.316964,0.239816,0.246652,0.211779,10300214400
1997,0.188616,0.198661,0.147321,0.148438,0.127451,9072739200
1998,0.121652,0.178571,0.120536,0.163504,0.140387,10211577600
1999,0.376116,0.422433,0.330915,0.367746,0.315753,15127403200
2000,0.936384,1.084821,0.772321,0.926339,0.79537,12555177600
2001,0.265625,0.401786,0.257813,0.386161,0.331564,13709460800
2002,0.39375,0.441607,0.361607,0.441429,0.379018,8515376800
2003,0.256429,0.274643,0.242143,0.256429,0.220174,6045832800
2004,0.384821,0.443571,0.378214,0.402857,0.3459,7927802400
2005,1.156786,1.390893,1.117857,1.373214,1.179064,25708244800
2006,2.585,3.085714,2.531071,2.696786,2.315505,21878371200
2007,3.081786,3.492857,2.925,3.061786,2.6289,27209781200
2008,7.116786,7.152143,4.505,4.834286,4.150796,35173888400
2009,3.067143,3.470357,2.792857,3.218929,2.763825,18105740800
2010,7.6225,7.699643,6.794643,6.859286,5.889495,15168994400
2011,11.63,12.45,11.601429,12.118571,10.405201,10841535600
2012,14.621429,16.365713,14.607143,16.302856,13.997898,6859854400
2013,19.779285,19.821428,15.535714,16.2675,14.091583,13123423600
2014,19.845715,20.007143,17.626785,17.878571,15.876214,8765954400
2015,27.8475,30,26.157499,29.290001,26.556961,5221053600
2016,25.6525,26.4625,23.0975,24.334999,22.440245,5087392000
2017,28.950001,30.610001,28.690001,30.3375,28.597815,2252488000
2018,42.540001,45.025002,41.174999,41.857498,40.091717,2638717600
2019,38.7225,42.25,35.5,41.610001,40.453007,3312349600
2020,74.059998,81.962502,73.1875,77.377502,76.356224,2934370400
2021,133.520004,145.089996,126.379997,131.960007,131.34288,2240262000
